City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Bredasdorp,ZA,2020-12-02 20:52:18,-34.53,20.04,53.6,76,0,3.36
103,Kedzierzyn-Kozle,PL,2020-12-02 20:52:20,50.35,18.23,27.0,94,67,1.01
104,Viedma,AR,2020-12-02 20:52:20,-40.81,-63.0,75.99,23,0,14.07
105,Husavik,IS,2020-12-02 20:52:20,66.04,-17.34,26.6,86,90,31.09
106,Margate,GB,2020-12-02 20:52:20,51.38,1.39,43.0,87,100,1.99
107,Dikson,RU,2020-12-02 20:52:20,73.51,80.55,23.04,95,100,31.97
108,Moree,AU,2020-12-02 20:49:13,-29.47,149.85,78.8,65,100,14.99
109,Halifax,CA,2020-12-02 20:49:13,44.65,-63.57,51.01,100,75,4.7
110,Gamba,GA,2020-12-02 20:52:21,-2.65,10.0,74.75,87,100,3.58
111,Ampanihy,MG,2020-12-02 20:52:21,-24.7,44.75,72.77,85,94,5.5
112,Caravelas,BR,2020-12-02 20:52:21,-17.71,-39.25,77.9,80,86,8.9
113,Owando,CG,2020-12-02 20:52:21,-0.48,15.9,74.25,81,3,4.05
114,Smithers,CA,2020-12-02 20:48:49,54.78,-127.17,32.0,92,5,6.93
115,Gulbarga,IN,2020-12-02 20:52:21,17.33,76.83,64.36,64,71,6.08
116,Clyde River,CA,2020-12-02 20:52:21,70.47,-68.59,17.6,72,40,18.34
117,Majene,ID,2020-12-02 20:52:21,-3.54,118.97,78.62,78,78,4.65
118,Tshikapa,CD,2020-12-02 20:52:21,-6.42,20.8,72.25,89,100,1.01
119,Cape Town,ZA,2020-12-02 20:52:21,-33.93,18.42,62.6,59,0,21.92
120,San Carlos Del Zulia,VE,2020-12-02 20:52:21,9.0,-71.91,84.29,76,70,6.17
121,Bluff,NZ,2020-12-02 20:52:21,-46.6,168.33,53.01,73,100,13.0
122,Lodja,CD,2020-12-02 20:52:22,-3.48,23.43,70.0,96,100,1.28
123,Nahrin,AF,2020-12-02 20:52:22,36.06,69.13,42.96,62,8,0.45
124,Ambilobe,MG,2020-12-02 20:52:22,-13.2,49.05,75.42,83,44,3.69
125,Malindi,KE,2020-12-02 20:52:22,-3.22,40.12,79.63,83,96,10.74
126,Tessalit,ML,2020-12-02 20:52:22,20.2,1.01,74.1,22,30,10.69
127,Souillac,MU,2020-12-02 20:52:22,-20.52,57.52,77.0,94,75,5.82
128,Grand Forks,US,2020-12-02 20:52:22,47.94,-97.43,41.0,56,20,16.11
129,Seymchan,RU,2020-12-02 20:52:22,62.88,152.43,-24.12,84,6,0.83
130,San Patricio,US,2020-12-02 20:52:22,28.02,-97.52,75.2,64,75,3.36
131,Mahebourg,MU,2020-12-02 20:52:23,-20.41,57.7,77.0,94,75,5.82
132,Nefteyugansk,RU,2020-12-02 20:52:23,61.1,72.6,5.0,84,0,11.18
133,Upernavik,GL,2020-12-02 20:52:23,72.79,-56.15,19.49,90,100,13.69
134,Bonavista,CA,2020-12-02 20:52:23,48.65,-53.11,48.2,93,96,1.12
